Actual,Apple___Apple_scab,Apple___Black_rot,Apple___Cedar_apple_rust,Apple___healthy,Background_without_leaves,Blueberry___healthy,Cherry___Powdery_mildew,Cherry___healthy,Grape___Black_rot,Grape___Esca_(Black_Measles),Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___healthy,Orange___Haunglongbing_(Citrus_greening),Peach___Bacterial_spot,Peach___healthy,Raspberry___healthy,Squash___Powdery_mildew,Strawberry___Leaf_scorch,Strawberry___healthy,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Apple___Apple_scab,121,2,0,3,0,0,0,0,0,0,0,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Apple___Black_rot,0,146,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Apple___Cedar_apple_rust,0,0,148,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Apple___healthy,2,0,0,250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Background_without_leaves,0,0,0,1,165,0,0,0,0,0,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Blueberry___healthy,0,4,0,5,0,221,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Cherry___Powdery_mildew,0,0,0,1,0,0,160,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
Cherry___healthy,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grape___Black_rot,0,0,0,0,0,0,0,0,153,7,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grape___Esca_(Black_Measles),0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grape___healthy,0,0,0,2,0,0,0,0,0,0,0,147,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange___Haunglongbing_(Citrus_greening),0,0,0,0,0,0,1,0,0,0,0,0,809,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Peach___Bacterial_spot,1,0,0,0,0,0,0,0,0,0,0,0,0,338,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Peach___healthy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raspberry___healthy,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,149,0,0,1,0,0,0,0,0,0,0,0,0,0
Squash___Powdery_mildew,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,273,0,0,0,0,2,0,0,0,0,0,0,0
Strawberry___Leaf_scorch,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0
Strawberry___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,147,0,0,0,0,0,0,0,0,0,0
Tomato___Bacterial_spot,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,275,11,1,0,0,0,3,9,0,0
Tomato___Early_blight,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,5,0,8,1,8,2,0,0
Tomato___Late_blight,1,0,1,1,0,0,0,1,1,0,0,0,2,2,3,2,1,1,0,0,6,283,0,17,0,1,1,0,1
Tomato___Leaf_Mold,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,108,13,3,1,7,1,0
Tomato___Septoria_leaf_spot,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,270,0,0,0,3,1
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,206,7,16,1,1
Tomato___Target_Spot,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,209,1,0,3
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,829,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,117,0
Tomato___healthy,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235
