epoch,train_loss,train_acc,val_loss,val_acc
1,1.364,58.46,0.9276,70.96
2,0.4898,84.53,0.3344,89.65
3,0.2819,90.93,0.3383,89.38
4,0.1915,93.82,0.4425,86.61
5,0.1566,94.83,0.2122,93.31
6,0.1314,95.71,0.1593,94.93
7,0.1075,96.45,0.3251,89.66
8,0.1022,96.71,0.1526,95.12
9,0.0923,97.06,0.1422,95.79
10,0.0765,97.49,0.1071,96.49
11,0.0761,97.59,0.1452,95.45
12,0.0636,97.99,0.1099,96.85
13,0.0627,98.02,0.0758,97.61
14,0.0554,98.21,0.0751,97.84
15,0.0536,98.24,0.0658,97.88
16,0.0543,98.32,0.2434,93.18
17,0.0498,98.36,0.0924,97.31
18,0.0393,98.73,0.1608,95.26
19,0.0451,98.5,0.128,96.53
20,0.0414,98.59,0.1926,95.4
