epoch,train_loss,train_acc,val_loss,val_acc
1,1.4509,56.12,1.1463,64.08
2,0.53,83.14,0.4232,87.03
3,0.2893,90.71,0.6159,80.91
4,0.2201,92.86,0.2371,92.65
5,0.1632,94.62,0.7016,83.3
6,0.1356,95.59,0.4736,87.49
7,0.1149,96.24,0.1314,95.83
8,0.0989,96.67,0.1825,94.69
9,0.09,97.03,0.0897,97.38
10,0.0779,97.45,0.1053,96.94
11,0.0711,97.67,0.1509,95.76
12,0.0703,97.75,0.0792,97.79
13,0.0623,97.96,0.2252,93.87
14,0.0618,98.04,0.1161,96.75
15,0.0513,98.4,0.2081,94.77
16,0.049,98.36,0.5415,87.36
17,0.0531,98.29,0.1862,95.05
